id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.444,WEEAPROINAH,0.001198367,2,1668.937614,1669.937614
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.445,BALD HILLS,0.001170728,4,3416.676421,3417.676421
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.467,DARNUM,0.003940727,7,1776.321999,1777.321999
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.446,ROSANNA,0.000343922,7,20353.45624,20354.45624
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.447,MOE,0.001865466,27,14473.59622,14474.59622
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.448,SALISBURY WEST,0.006271473,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.449,BRIDGEWATER NORTH,0.008034213,1,124.4677013,125.4677013
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.450,TRAFALGAR SOUTH,0.004225316,1,236.6686758,237.6686758
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.452,PARWAN,0.008023032,5,623.2057996,624.2057996
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.453,ARMSTRONG,0.001949296,2,1026.011583,1027.011583
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.458,WINCHELSEA,0.025474361,18,706.5927929,707.5927929
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.459,WHIRILY,0.013963604,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.639,GLEN HUNTLY,9.15E-05,6,65548.94377,65549.94377
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.461,NULLAWIL,0.016101584,2,124.2113839,125.2113839
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2472,COGHILLS CREEK,0.001611292,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.463,SCOTCHMANS LEAD,0.000439513,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.464,BAW BAW VILLAGE,0.000440425,8,18164.26517,18165.26517
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.465,HEATHMONT,0.000455154,4,8788.235352,8789.235352
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.466,SHAYS FLAT,0.002129838,1,469.5193313,470.5193313
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.708,LEMNOS,0.00187312,2,1067.737198,1068.737198
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.468,NUNGURNER,0.002149291,6,2791.617796,2792.617796
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.469,ILLOWA,0.00213857,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.487,SEAHOLME,9.70E-05,3,30927.98715,30928.98715
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.709,MILNES BRIDGE,0.001846694,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.470,DAWSON,0.002134581,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.477,DEAN,0.003020451,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.471,LAURISTON,0.002561121,1,390.4539672,391.4539672
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.472,BARRAKEE,0.002076016,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.488,IRONBARK,9.51E-05,3,31551.06431,31552.06431
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.489,HUGHESDALE,0.00020581,5,24294.29935,24295.29935
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.473,ALMA,0.002095367,0,0,1
